youtube_id,start_second,end_second,onto
-3nmeq8AV34,120.0,130.0,/m/05kq4
-3qVzrEZ8l0,30.0,40.0,/m/01yrx
-3qrk3DOzPY,11.0,21.0,/m/0bt9lr
-3tSagKKPrw,30.0,40.0,/m/0y4f8
-3uQEoPHwq0,30.0,40.0,/m/02mk9
-3v7Z3ni38Y,30.0,40.0,/m/06bz3
-3waqLAHXSo,170.0,180.0,/m/0y4f8
-3wwAuNmuBM,0.0,10.0,/m/07qlf79
-3yssXOC3PY,0.0,8.0,/m/06h7j
-3zWoFVPXCk,50.0,60.0,/m/07jdr
-4-QMo4t9FU,30.0,40.0,/m/06h7j
-4-Ul3BRc14,10.0,20.0,/m/02mk9
-40ekxiTghU,30.0,40.0,/m/015p6
-450EsuQYao,110.0,120.0,/m/03vt0
-46xqouqMxA,6.0,16.0,/m/01yrx
-47OMrNfA0A,30.0,40.0,/m/07jdr
-49HTaaNAjk,10.0,20.0,/m/0bt9lr
-4DhGDFxRY0,70.0,80.0,/m/015p6
-4H1EUXNl5s,30.0,40.0,/m/0bt9lr
-4Ihd9_fGnw,460.0,470.0,/m/03qtwd
-4Ly1hXlKmI,30.0,40.0,/m/015p6
-4N3GjgnIQ0,260.0,270.0,/m/07jdr
-4NXZD0P9vI,100.0,110.0,/m/03qtwd
-4QhQXNiq5s,90.0,100.0,/m/03m9d0z
-4RO-xwY_sU,30.0,40.0,/m/0bt9lr
-4ROHZMW7t0,5.0,15.0,/m/0bt9lr
-4ST8ru_k9Y,30.0,40.0,/m/015p6
-4SrR_lfLZ8,4.0,14.0,/m/02mk9
-4V-G01XDGA,140.0,150.0,/m/0bt9lr
-4W03ygE-X8,30.0,40.0,/m/015p6
-4W32diEqjE,60.0,70.0,/m/015p6
-4W5MXLYr7Y,30.0,40.0,/m/0bt9lr
-4WaJcLICmQ,220.0,230.0,/m/0y4f8
-4Y-xf4Dm3I,30.0,40.0,/m/02mk9
-4YIeHfuJrU,30.0,40.0,/m/02mk9
-4ZFguO-v8M,50.0,60.0,/m/0bt9lr
-4ano7snqlI,30.0,40.0,/m/03m9d0z
-4c4jzE5y_c,18.0,28.0,/m/03k3r
-4d1WG2bIFI,30.0,40.0,/m/06bz3
-4dIK8lPTRs,80.0,90.0,/m/0_ksk
-4e-m-V66DY,30.0,40.0,/m/0bt9lr
-4i49rWLl1o,20.0,30.0,/m/0bt9lr
-4jP6L2qDLU,380.0,390.0,/m/0199g
-4jldTKQYns,160.0,170.0,/m/07jdr
-4jzVhwjXVc,30.0,40.0,/m/02mk9
-4lflxZ6zek,30.0,40.0,/m/06bz3
-4o0jRbgHr4,30.0,40.0,/m/01yrx
-4oBn8qurR4,25.0,35.0,/m/0bt9lr
-4pZvJLvgzM,30.0,40.0,/m/015p6
-4qzG7yZBv4,30.0,40.0,/m/02mk9
-4sst_mzg2w,23.0,33.0,/m/01yrx
-4tjMLqfFb0,30.0,40.0,/m/02mk9
-4tt6CH-B6s,30.0,40.0,/m/06bz3
-4uLj3mZZNg,0.0,10.0,/m/03vt0
-4yIYhypF8w,30.0,40.0,/m/01yrx
-4zBYVuspYc,30.0,40.0,/m/015p6
-51bS5W-U84,17.0,27.0,/m/06h7j
-51k6F_4rls,10.0,20.0,/m/02mk9
-53qltVyjpc,180.0,190.0,/m/06_fw
-54naqYCenE,70.0,80.0,/m/0bt9lr
-55UGnqZsOo,8.0,18.0,/m/01yrx
-569X-d9l_s,50.0,60.0,/m/02mk9
-57qvJzYipc,30.0,40.0,/m/02mk9
-57uVsOw0FI,12.0,22.0,/m/06bz3
-583Fmion4U,30.0,40.0,/m/01yrx
-5B-Fvwq-Qk,30.0,40.0,/m/0bt9lr
-5CdRNLAqF0,180.0,190.0,/m/06bz3
-5EYBhN62f4,30.0,40.0,/m/03m9d0z
-5F-IejjG9w,0.0,10.0,/m/015p6
-5FFR9uXmhc,270.0,280.0,/m/015p6
-5GhyWiIDEE,14.0,24.0,/m/02mk9
-5IoPSM59xM,9.0,19.0,/m/0bt9lr
-5Ip2BsIkSo,30.0,40.0,/m/015p6
-5KMQEDFIok,40.0,50.0,/m/015p6
-5KWPe2-ct4,30.0,40.0,/m/015p6
-5MjX4UV-Vc,30.0,40.0,/m/02mk9
-5QrBL6MzLg,60.0,70.0,/m/07jdr
-5TRmyO5kwk,30.0,40.0,/m/03qtwd
-5XCVpv6FAc,14.0,24.0,/m/02mk9
-5Xq0btyWLo,60.0,70.0,/m/02k_mr
-5YLszkC2Ow,30.0,40.0,/m/03k3r
-5Z2adiACIA,130.0,140.0,/m/015p6
-5aKdV-2V0k,10.0,20.0,/m/0_ksk
-5afJZIQvrY,30.0,40.0,/m/06bz3
-5cUdb_in-c,10.0,20.0,/m/02mk9
-5fz-NoIhlE,120.0,130.0,/m/0y4f8
-5gQNGCFpPc,30.0,40.0,/m/03qtwd
-5h59-qBpz8,80.0,90.0,/m/07jdr
-5hxFmUlOXk,0.0,10.0,/m/07jdr
-5jTPNu2Unc,390.0,400.0,/m/07jdr
-5kitoRP7n8,14.0,24.0,/m/0bt9lr
-5lI0Wt-pNE,250.0,260.0,/m/07jdr
-5lbBA5-R34,30.0,40.0,/m/03qtwd
-5msR5aVwtg,90.0,100.0,/m/0bt9lr
-5pN5CG_2sw,4.0,14.0,/m/06h7j
-5px8DVPl8A,28.0,38.0,/m/0199g
-5q8Wh2H8fw,22.0,32.0,/m/01yrx
-5qL0txemrw,30.0,40.0,/m/02mk9
-5qZcSceJjM,170.0,180.0,/m/06_fw
-5qzWUgsszA,540.0,550.0,/m/0g6b5
-5rnGk2e1ao,0.0,10.0,/m/0bt9lr
-5tmhh6s6kY,20.0,30.0,/m/015p6
-5uYuIZ5xFM,30.0,40.0,/m/02mk9
-5upZpZmlr0,19.0,29.0,/m/02mk9
-5weqk40jaI,17.0,27.0,/m/06mb1
-5xNaSrvNlw,40.0,50.0,/m/0bt9lr
-5y4jb9eUWs,110.0,120.0,/m/06_fw
-5yKS9Qm5Qs,60.0,70.0,/m/02k_mr
-6-kmsedHbk,30.0,40.0,/m/02k_mr
-60bBlFvY4U,190.0,200.0,/m/03qtwd
-628WBAudFs,40.0,50.0,/m/0bt9lr
-62RXhX5GZk,30.0,40.0,/m/0bt9lr
-668dhzzDQE,30.0,40.0,/m/02mk9
-67q0yYR0zk,24.0,34.0,/m/0bt9lr
-68677bCJWM,16.0,26.0,/m/01yrx
-6AI7N3jDVs,300.0,310.0,/m/0g6b5
-6Ai1E1ki9U,28.0,38.0,/m/015p6
-6BGbVl0Pt4,30.0,40.0,/m/015p6
-6BrbHd7kC8,0.0,10.0,/m/03qtwd
-6CC_jiZtAA,30.0,40.0,/m/06h7j
-6EfENcd5xQ,13.0,23.0,/m/02mk9
-6FLs0P1KaQ,30.0,40.0,/m/02mk9
-6HGsGSiC64,0.0,8.0,/m/06mb1
-6KOEEiAf9s,19.0,29.0,/m/07jdr
-6PJbEt7NKg,30.0,40.0,/m/06h7j
-6Vl2wMppE0,150.0,160.0,/m/0bt9lr
-6Wcf_hTaiY,150.0,160.0,/m/015p6
-6ZYP-9FYmk,370.0,380.0,/m/07jdr
-6_EmR0EyJA,30.0,40.0,/m/06h7j
-6axSq5UpRU,30.0,40.0,/m/0bt9lr
-6bSOEg37aM,30.0,40.0,/m/0bt9lr
-6bzvQKabsk,30.0,40.0,/m/0199g
-6cuAzZglwU,30.0,40.0,/m/02mk9
-6ezVU1iGhQ,10.0,20.0,/m/03qtwd
-6fzeBEUnfU,210.0,220.0,/m/07jdr
-6gMKIIirNw,30.0,40.0,/m/02mk9
-6gxzS2ydY4,100.0,110.0,/m/0g6b5
-6hCyeaFJeE,0.0,10.0,/m/03qtwd
-6izN98y0Hk,390.0,400.0,/m/03m9d0z
-6j8_H-JK5c,500.0,510.0,/m/015p6
-6mz1aSpypo,30.0,40.0,/m/0bt9lr
-6nsM_mOHUM,30.0,40.0,/m/02mk9
-6oD0Eu8w7g,30.0,40.0,/m/02mk9
-6rhfzzAeTI,10.0,20.0,/m/0bt9lr
-6tNjMOSf4M,10.0,20.0,/m/02mk9
-6u0fbQZ180,30.0,40.0,/m/015p6
-6vxFd99DV4,30.0,40.0,/m/06h7j
-6wdndVkJAA,30.0,40.0,/m/02k_mr
-6woXY8-XcE,26.0,36.0,/m/0_ksk
-6yXV_ABWEc,30.0,40.0,/m/06bz3
-6zh1UGoQW8,30.0,40.0,/m/015p6
-7075bVmDQo,50.0,60.0,/m/02mk9
-709KpyVHRY,10.0,20.0,/m/03qtwd
-72trZy2FcE,30.0,40.0,/m/06bz3
-77junpVvnY,40.0,50.0,/m/02mk9
-79-Z12DW1w,30.0,40.0,/m/03qtwd
-799s1wQehA,110.0,120.0,/m/0bt9lr
-7BkpaH9RFI,30.0,40.0,/m/06h7j
-7EfbUOtlH4,30.0,40.0,/m/07jdr
-7EwLTKmrRI,18.0,28.0,/m/02mk9
-7GwHMPKRtg,30.0,40.0,/m/01yrx
-7HDEf8xexc,30.0,40.0,/m/06h7j
-7NYDNeHiM0,30.0,40.0,/m/02mk9
-7SNH8SUM0I,30.0,40.0,/m/01yrx
-7T1vQ2CgdQ,10.0,20.0,/m/0bt9lr
-7TkOxpkbwM,30.0,40.0,/m/0bt9lr
-7TlWDuHOII,50.0,60.0,/m/02mk9
-7TpSmofVDo,30.0,40.0,/m/06mb1
-7U9TFPrum8,17.0,27.0,/m/03m9d0z
-7VJJ6kLWfE,21.0,31.0,/m/02mk9
-7XTPQ_R5H4,30.0,40.0,/m/015p6
-7Y8Cmjdvuk,20.0,30.0,/m/0bt9lr
-7ZYXkC_Ess,30.0,40.0,/m/0y4f8
-7d_L3BXRjk,30.0,40.0,/m/015p6
-7dcq0-6-dc,90.0,100.0,/m/06mb1
-7f1ljy7nIo,30.0,40.0,/m/02mk9
-7gpWrnmD88,30.0,40.0,/m/06h7j
-7htl9sRjcA,30.0,40.0,/m/02mk9
-7jqBdp2pFs,21.0,31.0,/m/02mk9
-7kGYLofPgM,380.0,390.0,/m/01yrx
-7khhKKo4ts,60.0,70.0,/m/0bt9lr
-7khzUmnlm8,30.0,40.0,/m/0bt9lr
-7ki4roF1AY,30.0,40.0,/m/02mk9
-7mFeYMYZlw,530.0,540.0,/m/03qtwd
-7mKTqOQB_E,11.0,21.0,/m/02mk9
-7prSwkSezc,50.0,60.0,/m/03qtwd
-7qWTI_y3g0,30.0,40.0,/m/06bz3
-7qo7HXhkJQ,30.0,40.0,/m/015p6
-7u1vccsbQY,30.0,40.0,/m/06h7j
-7uB0O_imb4,30.0,40.0,/m/03k3r
-7uXSAcIX6Q,180.0,190.0,/m/015p6
-7v9JCLrISM,210.0,220.0,/m/0bt9lr
-7vTqfW7NP8,30.0,40.0,/m/03m9d0z
-7xi77-Oh9Q,60.0,70.0,/m/0y4f8
-7yYtJcdCiU,30.0,40.0,/m/02mk9
-7zHKtKmHNw,28.0,38.0,/m/0bt9lr
-7zz2BLOpyQ,30.0,40.0,/m/0g6b5
-8-CG6uNDnk,140.0,150.0,/m/0_ksk
-8-DDEBf4O4,30.0,40.0,/m/0bt9lr
-806bMe5wtI,30.0,40.0,/m/06h7j
-81kolkG8M0,0.0,8.0,/m/06_fw
-81yqGXbbtA,30.0,40.0,/m/06bz3
-84CyEpynsY,10.0,20.0,/m/0bt9lr
-87E22R_Mio,20.0,30.0,/m/06bz3
-88fQ1yAePE,50.0,60.0,/m/02mk9
-88hDH6LtyI,80.0,90.0,/m/06mb1
-89JaCp8K8g,30.0,40.0,/m/015p6
-89xXp5-oHA,30.0,40.0,/m/02mk9
-8A29IUVjNw,11.0,21.0,/m/02mk9
-8AGytulJls,13.0,23.0,/m/015p6
-8CfwzulotY,30.0,40.0,/m/06bz3
-8E7mUH4fdE,17.0,27.0,/m/015p6
-8EPfCUsaJI,30.0,40.0,/m/0bt9lr
-8Fht8wCSdQ,30.0,40.0,/m/06bz3
-8IP6mErHSM,150.0,160.0,/m/02mk9
-8LGxhxYTfI,10.0,20.0,/m/03qtwd
-8MOKLWC6AA,30.0,40.0,/m/06h7j
-8O3sR_tzs0,0.0,10.0,/m/015p6
-8Qb_SMa7LA,0.0,10.0,/m/05kq4
-8REnh0Wels,30.0,40.0,/m/06h7j
-8TB1atr8FA,30.0,40.0,/m/015p6
-8Vvk15NwpE,0.0,10.0,/m/01yrx
-8WbtdYDwFI,30.0,40.0,/m/06h7j
-8XKoPoLDbU,30.0,40.0,/m/07qlf79
-8Zf7x-47GM,30.0,40.0,/m/015p6
-8bXTG93tG4,30.0,40.0,/m/06h7j
-8buqxazv8s,0.0,10.0,/m/03qtwd
-8cEUxAgB-A,30.0,40.0,/m/06bz3
-8cS9YqTeKI,20.0,30.0,/m/0_ksk
-8cgMZg4BOc,30.0,40.0,/m/015p6
-8eLnOiTevU,30.0,40.0,/m/02mk9
-8e_XWo_ROo,30.0,40.0,/m/07qlf79
-8gLdsuPmOI,30.0,40.0,/m/0bt9lr
-8gySXcki8Q,30.0,40.0,/m/015p6
-8h9MIVX48g,30.0,40.0,/m/06bz3
-8j1HWc1rbo,30.0,40.0,/m/02mk9
-8jAIbKVhRk,260.0,270.0,/m/05kq4
-8lfWRzz-Tk,0.0,10.0,/m/0_ksk
-8nDdZtXtQ4,30.0,40.0,/m/06h7j
-8ovd30y4BM,30.0,40.0,/m/015p6
-8pBNSSaMfI,30.0,40.0,/m/06bz3
-8qg7BALPtY,30.0,40.0,/m/06bz3
-8rk5vvJ0_w,30.0,40.0,/m/0bt9lr
-8u33ba8bWs,20.0,30.0,/m/015p6
-8uTrn1Y85U,140.0,150.0,/m/015p6
-8v6KSVvQrc,30.0,40.0,/m/07qlf79
-8vr6YYNRts,20.0,30.0,/m/0y4f8
-8w29At1-6M,28.0,38.0,/m/0bt9lr
-8wRLqWkqfg,30.0,40.0,/m/07jdr
-8xCSEgFroY,30.0,40.0,/m/03k3r
-9-9umCz9yc,30.0,40.0,/m/06bz3
-9-dpbRkJco,150.0,160.0,/m/07jdr
-902-nk0MnI,30.0,40.0,/m/0bt9lr
-91lUg0_Gl8,30.0,40.0,/m/03k3r
-92GeosNP1g,30.0,40.0,/m/02k_mr
-93C22DxVD4,0.0,10.0,/m/01yrx
-94QhnluxSg,30.0,40.0,/m/02mk9
-95U_mF-KNw,30.0,40.0,/m/06bz3
-96M8jhGKKs,30.0,40.0,/m/0bt9lr
-97l_c6PToE,30.0,40.0,/m/07jdr
-98S3LOOLxo,30.0,40.0,/m/0y4f8
-99fMngaMgQ,30.0,40.0,/m/06h7j
-9AVPux4_Ug,70.0,80.0,/m/0y4f8
-9Ao_zZf80s,30.0,40.0,/m/06h7j
-9C5ok-bafU,21.0,31.0,/m/02mk9
-9Ci4Cqdx_w,30.0,40.0,/m/07jdr
-9ClDIGd1F4,30.0,40.0,/m/06bz3
-9DP8x__enM,30.0,40.0,/m/0bt9lr
-9EzPuc0nZ8,30.0,40.0,/m/06h7j
-9GFFnns20I,30.0,40.0,/m/02mk9
-9GybLhirqc,60.0,70.0,/m/02mk9
